watershed,type,title,precinct, local , grant , partner , match , benefits 
Addicks Reservoir,Local,Rehabilitation of Channels Upstream of Addicks Reservoir to Restore Channel Conveyance Capacity,3,"$30,000,000 ",-,-,-,Needed repairs to restore channel conveyance capacity.
Addicks Reservoir,Local,"Right-Of-Way Acquisition, Design and Construction of Control Structures and Stormwater Quality Features for the Upper Langham Creek Program",3,"$10,000,000 ",-,-,-,The Upper Langham Creek project could remove the 1% floodplain from all structures in the Upper Langham Creek watershed.
Addicks Reservoir,Partnership,Corps of Engineers Section 216 Study - Addicks and Barker Reservoirs,Countywide,-,"$750,000 ","$375,000 ","$375,000 ",This study partnership with the Corps of Engineers will evaluate the effectiveness and operation of the Addicks and Barker Reservoirs.
Addicks Reservoir,Partnership,"Right-Of-Way Acquisition, Design and Construction of Channel Conveyance Improvements and Bypass Channel for South Mayde Creek ",3,-,"$10,000,000 ","$9,000,000 ","$1,000,000 ",The South Mayde Creek project could reduce the risk of flooding for over 70 structures and the 1% floodplain is removed from an estimated 19 miles of roads near several schools.
Addicks Reservoir,Partnership,"Right-Of-Way Acquisition, Design and Construction of a Stormwater Detention Basin on South Mayde Creek ",3,-,"$16,000,000 ","$14,400,000 ","$1,600,000 ",This project will reduce the risk of flooding along South Mayde Creek.
Addicks Reservoir,Partnership,Design and Construction of a Bridge Replacement for Greenhouse Road at South Mayde Creek,3,-,"$15,000,000 ","$13,500,000 ","$1,500,000 ",This project will reduce the risk of flooding along South Mayde Creek.
Addicks Reservoir,Partnership,"Right-Of-Way Acquisition, Design and Construction of a Stormwater Detention Basin on South Mayde Creek near the Grand Parkway",3,-,"$94,000,000 ","$84,600,000 ","$9,400,000 ",This project will reduce the risk of flooding along South Mayde Creek.
Addicks Reservoir,Local,"Planning, Right-Of-Way Acquisition, Design, and Construction for Ultimate Conveyance on Bear Creek",3,"$25,000,000 ",-,-,-,The project could reduce the risk of flooding for over 30 structures in the 1% floodplain and create depth for more effective drainage.
Addicks Reservoir,Local,Design and Construction of Secondary Outfall for John Pauls Landing for the Upper Langham Creek Program,3,"$5,000,000 ",-,-,-,This project will reduce the risk of flooding along Upper Langham Creek.
Addicks Reservoir,Local,"Right-Of-Way Acquisition, Design, and Construction of a Retention Area ",4,"$15,000,000 ",-,-,-,Provides regional retention in accordance w/ Cypress Creek Overflow Guidelines
Addicks Reservoir,Partnership,Design and Construction of Little York Stormwater Detention Basin ,4,-,"$3,000,000 ","$2,500,000 ","$500,000 ",Project would provide additional stormwater detention in support of flood damage reduction in Addicks Reservoir Watershed.
Addicks Reservoir,Local,"Right-Of-Way Acquisition, Design and Construction of a Stormwater Detention Basin North of John Pauls Landing for the Upper Langham Creek Program",3,"$21,000,000 ",-,-,-,This project will reduce the risk of flooding along Upper Langham Creek.
Addicks Reservoir,Partnership,Design and Construction of Dinner Creek Stormwater Detention Basin,4,-,"$15,000,000 ","$11,250,000 ","$3,750,000 ",Project would provide additional stormwater detention in support of flood damage reduction in Addicks Reservoir Watershed.
Addicks Reservoir,Local,"Right-Of-Way Acquisition, Design, and Construction of Wetland Mitigation Bank",3 & 4,"$20,000,000 ",-,-,-,Restoration and enhancement of wetlands to create credits for wetland mitigation supporting construction of District projects.
Addicks Reservoir,Subdivision Drainage Improvement,Addicks Reservoir Subdivision Drainage Improvements,3 & 4,-,"$83,770,000 ","$62,827,500 ","$20,942,500 ","Design and construction of these projects could reduce the risk of flooding for over 6,600 homes during a 1% rain or flood event."
Addicks Reservoir,Storm Repair,Storm Repairs in Addicks Reservoir Watershed,3 & 4,-,"$19,056,000 ","$15,245,000 ","$3,811,000 ",Approximately 158 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Addicks Reservoir,Partnership,Rehabilitation of Channels Inside of Addicks Reservoir to Restore Channel Conveyance Capacity,3,-,"$10,000,000 ",-,"$10,000,000 ",Needed repairs to restore channel conveyance capacity. Partnership project with USACE with HCFCD providing project funding.
Armand Bayou,Community Input,Brookglen Flooding Mitigation Analysis,2,"$250,000 ",-,-,-,Effort will investigate flooding problems and evaluate potential solutions to flooding problems to reduce the risk of flooding in the Brookglen area.
Armand Bayou,Local,"Right-Of-Way, Design and Construction of Conveyance Improvements along Armand Bayou",2,"$10,000,000 ",-,-,-,Design and construction of projects to reduce the risk of flooding in the Armand Bayou watershed.
Armand Bayou,Local,Investigations of General Drainage Improvements in Armand Bayou Watershed,2,"$500,000 ",-,-,-,Effort will investigate flooding problems and evaluate potential solutions to flooding problems to reduce the risk of flooding in the Armand Bayou watershed.
Armand Bayou,Buyout,Federal Grant-Funded Volunteer Home Buyouts,2,-,"$6,200,000 ","$4,650,000 ","$1,550,000 ",Purchase of approximately 30 buildings.
Armand Bayou,Partnership,Floodplain Right-Of-Way Acquisition in Armand Bayou,2,-,"$4,000,000 ","$2,000,000 ","$2,000,000 ",Acquisition of Right-Of-Way along Armand Bayou to preserve channel conveyance and / or restore natural floodplains in areas subject to frequent flooding.
Armand Bayou,Local,"Planning, Right-Of-Way, Design and Construction of Conveyance Improvements along Horsepen Bayou",2,"$2,500,000 ",-,-,-,Project could reduce the risk of flooding for structures in the watershed.
Armand Bayou,Partnership,"Right-Of-Way Acquisition, Design and Construction of B112-00-00 and Tributaries Conveyance Improvements ",2,-,"$10,000,000 ","$8,000,000 ","$2,000,000 ",Provides general drainage improvements along B112-00-00
Armand Bayou,Partnership,Design and Construction of the Red Bluff Regional Stormwater Detention Basin ,2,-,"$15,000,000 ","$11,250,000 ","$3,750,000 ",Construction of this stormwater detention basin will reduce the risk of flooding in the Armand Bayou watershed.
Armand Bayou,Local,Design and Construction of the Baywood Stormwater Detention Basin,2,"$2,000,000 ",-,-,-,Construction of additional volume in this stormwater detention basin will help reduce the risk of flooding along Armand Bayou.
