watershed,zipGroup,projects,buyout,input,local,partnership,stormRepair,subdivision, localsum , partnersum , matchsum , grantsum ,totalsum,storyOne,oneLink,storyTwo,twoLink,storyThree,threeLink,summary
Addicks Reservoir,"77433, 77447, 77493, 77449, 77084, 77041, 77095",17,0,0,7,8,1,1,"$126,000,000 ","$223,467,500 ","$54,852,500 ","$278,320,000 ","$404,320,000 ",Developing Storm: Officials patched and prayed while pressure built on Houston’s dams,https://www.houstonchronicle.com/news/houston-texas/houston/article/Officials-patched-and-prayed-while-pressure-built-12425719.php,What’s in Houston's worst flood zones? Development worth $13.5 billion,https://www.houstonchronicle.com/news/houston-texas/houston/article/What-s-in-a-floodway-In-Houston-20-000-12409821.php,"Developing Storm: For buyers within ‘flood pools,’ no warnings from developers, public officials",https://www.houstonchronicle.com/news/houston-texas/houston/article/For-buyers-within-flood-pools-no-warnings-12434078.php,The Addicks Reservoir watershed is located in western Harris County with a small portion crossing into eastern Waller County. The Addicks Reservoir watershed occasionally receives a significant amount of natural stormwater overflow from the Cypress Creek watershed during heavy rainfall events. Stormwater runoff from this watershed drains through the Addicks Reservoir and eventually into Buffalo Bayou
Armand Bayou,"77536, 77571, 77507, 77586, 77058, 77062, 77598, 77059, 77034, 77505, 77504, 77503",10,1,2,3,3,1,,"$12,750,000 ","$26,060,000 ","$15,340,000 ","$41,400,000 ","$54,150,000 ","Harris County pieces together flood bond projects, millions at a time, in Harvey's wake",https://www.houstonchronicle.com/news/houston-texas/houston/article/Harris-County-pieces-together-flood-bond-12999079.php,"Houston FEMA flood map missed 75 percent of flood damages, says new study",https://www.houstonchronicle.com/news/houston-texas/houston/article/Houston-FEMA-flood-map-missed-75-percent-of-flood-12212943.php,"Hurricane Harvey: Residents, officials react in Houston's Bay Area",https://www.houstonchronicle.com/neighborhood/bayarea/news/article/Hurricane-Harvey-Residents-officials-react-in-11982469.php,"The Armand Bayou watershed is located in southeast Harris County and encompasses portions of the cities of Houston, Pasadena, Deer Park, La Porte and Taylor Lake Village. Armand Bayou flows in a southward direction from its headwaters near Deer Park to its mouth at Clear Lake. The watershed covers about 59 square miles and includes five primary streams: Armand Bayou, Horsepen Bayou, Big Island Slough, Willowspring Creek and Spring Gully."
Barker Reservoir,"77094, 77450, 77449, 77494, 77423, 77484, 77493",5,0,0,1,2,1,1,"$30,000,000 ","$27,132,500 ","$19,137,500 ","$46,270,000 ","$76,270,000 ",Developing Storm: Officials patched and prayed while pressure built on Houston’s dams,https://www.houstonchronicle.com/news/houston-texas/houston/article/Officials-patched-and-prayed-while-pressure-built-12425719.ph,What’s in Houston's worst flood zones? Development worth $13.5 billion,https://www.houstonchronicle.com/news/houston-texas/houston/article/What-s-in-a-floodway-In-Houston-20-000-12409821.php,Group forms to prevent future Barker Reservoir flooding,https://www.houstonchronicle.com/neighborhood/katy/news/article/Group-forms-to-prevent-future-Barker-Reservoir-13073471.php,"The Barker Reservoir watershed encompasses the area that drains into Barker Reservoir. The watershed is located in west Harris County and extends into Fort Bend and Waller counties, encompassing portions of the cities of Houston and Katy. The Barker Reservoir watershed covers approximately 126 square miles and includes two primary streams: Mason Creek and Upper Buffalo Bayou. "
Brays Bayou,"77012, 77011, 77023, 77003, 77004, 77087, 77033, 77021, 77006, 77002, 77030, 77019, 77054, 77025, 77005, 77046, 77027, 77081, 77401, 77096, 77035, 77071, 77489, 77477, 77031, 77074, 77036, 77478, 77099, 77072, 77042, 77082, 77077, 77083,77498, 77407",10,1,3,2,3,1,0,"$63,450,000 ","$132,220,000 ","$90,530,000 ","$222,750,000 ","$286,200,000 ",Delayed 911 responses during Harvey left some residents waiting days for help,https://www.houstonchronicle.com/news/houston-texas/houston/article/Delayed-911-responses-during-Harvey-left-12979327.php,Harvey ushered in a new reality for Houston real estate,https://www.houstonchronicle.com/business/article/Harvey-ushered-in-a-new-reality-for-local-real-12866924.php,Home elevation program in Houston draws criticism,https://www.houstonchronicle.com/news/houston-texas/houston/article/Home-elevation-program-in-Houston-draws-criticism-12489354.php,"The Brays Bayou watershed is located in southwest Harris County and portions of Ft. Bend County and drains parts of the cities of Houston, Missouri City, Stafford, Bellaire, West University, Southside Place and the Meadows. The bayou flows eastward from Fort Bend County to its confluence with the Houston Ship Channel."
Buffalo Bayou,"77406, 77407, 77450, 77494, 77082, 77094, 77084, 77449, 77041, 77012, 77011, 77020, 77026, 77003, 77002, 77004, 77006, 77007, 77019, 77027, 77056, 77057, 77063, 77042, 77077, 77079, 77024, 77043, 77080, 77055",13,0,6,6,0,1,0,"$88,700,000 ","$21,380,000 ","$16,595,000 ","$37,975,000 ","$126,675,000 ","Residents offer support, project ideas for $2.5B Harris County flood bond",https://www.houstonchronicle.com/news/houston-texas/houston/article/Residents-offer-support-project-ideas-for-2-5B-13095376.php,Culberson’s response to Harvey under political attack,https://www.houstonchronicle.com/news/houston-texas/houston/article/Culberson-s-response-to-Harvey-under-political-12976009.php `,Official: Harris County Flood Control District not consulted before reservoir releases began,http://houstonchronicle.com/news/politics/houston/article/Official-Harris-County-Flood-Control-District-12867163.php,"The Buffalo Bayou watershed is primarily located in west-central Harris County with a small portion crossing into Fort Bend County. Rainfall within the 102 square miles of the Buffalo Bayou watershed drains to the watershed’s primary waterway. Buffalo Bayou travels through heavily wooded residential areas and much of the bayou remains in a natural state. Near downtown Houston, White Oak Bayou flows into Buffalo Bayou."
Carpenters Bayou,"77044, 77049, 77015, 77530",3,1,0,0,0,1,1, $-   ,"$5,217,500 ","$1,732,500 ","$6,950,000 ","$6,950,000 ","Harris County pieces together flood bond projects, millions at a time, in Harvey's wake",https://www.houstonchronicle.com/news/houston-texas/houston/article/Harris-County-pieces-together-flood-bond-12999079.php,Harris County Flood Control District begins drive on $84 million hurricane repair program,https://www.houstonchronicle.com/neighborhood/katy/news/article/Harris-County-Flood-Control-District-begins-drive-12869340.php,,,"The Carpenters Bayou watershed is located in east Harris County. Carpenters Bayou flows southward from its headwaters just west of Lake Houston into the Houston Ship Channel. The watershed covers approximately 25 square miles, with Carpenters Bayou being the single primary stream."
Cedar Bayou,"77336, 77532, 77562, 77521, 77520, 77523, 77535",14,1,0,11,0,1,1,"$249,500,000 ","$2,070,000 ","$680,000 ","$2,750,000 ","$252,250,000 ","Terror, heartbreak and heroism: Five Houstonians brave one of America’s worst storms",https://www.houstonchronicle.com/local/hc-investigations/harvey/51inches/,"After Harvey, a ‘second storm’ of air pollution, state reports show",https://www.houstonchronicle.com/news/houston-texas/houston/article/After-Harvey-a-second-storm-of-air-12795260.php,Harris County Flood Control District holds public meeting for proposed projects around Cedar Bayou,https://www.houstonchronicle.com/neighborhood/lakehouston/news/article/Harris-County-Flood-Control-District-holds-public-13092070.php,"The Cedar Bayou watershed is the easternmost watershed in Harris County, and Cedar Bayou generally serves as the border for Harris County with Chambers and Liberty counties."
Clear Creek,"77571, 77507, 77586, 77565, 77573, 77058, 77062, 77598, 77546, 77511, 77581, 77075, 77048, 77047, 77584, 77578, 77583, 77545",15,1,6,4,2,1,1,"$52,000,000 ","$196,172,500 ","$92,462,500 ","$288,635,000 ","$340,635,000 ",Clear Creek flood plan gets $295M in federal funds,https://www.houstonchronicle.com/neighborhood/friendswood/news/article/Clear-Creek-flood-plan-gets-295M-in-federal-funds-13119505.php,Flood control district exploring plan to build massive tunnels to carry away stormwater,https://www.houstonchronicle.com/news/politics/houston/article/Flood-control-district-exploring-plan-to-build-12776323.php,Final report: Harvey’s impact on Houston area laid out in grim detail,https://www.houstonchronicle.com/news/houston-texas/houston/article/Harvey-s-impact-on-Houston-area-in-grim-detail-12969537.php,"The Clear Creek watershed is located in southern Harris County. The watershed encompasses portions of Harris, Galveston, Brazoria and Fort Bend counties; 16 cities including Houston, Brookside Village, Pearland, Friendswood, League City, Pasadena, the Clear Lake Area communities and 5 drainage/flood control districts."
Cypress Creek,"77484, 77493, 77447, 77433, 77429, 77095, 77377, 77070, 77375, 77379, 77069, 77068, 77090, 77388, 77389, 77373, 77073, 77338, 77032",13,1,4,6,0,1,1,"$204,900,000 ","$263,900,000 ","$86,115,000 ","$350,015,000 ","$554,915,000 ","Dam gates, dredging are major topics at county flood bond meeting in Kingwood",https://www.houstonchronicle.com/neighborhood/kingwood/news/article/Dam-gates-dredging-are-major-topics-at-13069621.php,"With storm season here, flood concerns still worry Cypress Creek groups",https://www.houstonchronicle.com/neighborhood/cyfair/news/article/With-storm-season-here-flood-concerns-still-12954905.php,Lost in Cypress Creek: 'Dreamer' and his friends went to Houston hoping to save others,https://www.houstonchronicle.com/news/houston-texas/houston/article/Lost-in-Cypress-Creek-12185913.php,"The Cypress Creek watershed is located in northwest Harris County and extends into Waller County. Rainfall within the 267 square miles of the Cypress Creek watershed drains to the watershed’s primary waterway, Cypress Creek. "
Galveston Bay,"77571, 77586",5,1,0,2,2,0,0,"$4,500,000 ","$6,150,000 ","$24,050,000 ","$30,200,000 ","$34,700,000 ","Residents offer support, project ideas for $2.5B Harris County flood bond",https://www.houstonchronicle.com/news/houston-texas/houston/article/Residents-offer-support-project-ideas-for-2-5B-13095376.php,Flood Games: Manipulation of flood insurance leads to repeat disasters,https://www.houstonchronicle.com/business/article/Flood-Games-How-victims-local-officials-and-an-13031069.php,Feds OK $4B to boost coastal levees amid questions about region’s preparedness,https://www.houstonchronicle.com/news/houston-texas/houston/article/Feds-OK-4B-for-Ike-Dike-as-July-4th-storm-13052915.php,"The San Jacinto Galveston Bay watershed is located at the southeastern edge of Harris County. The watershed primarily drains the area that includes La Porte, Morgans Point and portions of Pasadena. However, Galveston Bay is the ultimate outfall for all drainage in Harris County."
