zip,projects,buyout,input,local,partnership,stormRepair,subdivision, localsum , grantsum , totalsum , partnersum , matchsum 
77002,39,2,14,10,9,3,1," $217,150,000 "," $751,275,000 "," $968,425,000 "," $528,932,500 "," $222,342,500 "
77003,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77004,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77005,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77006,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77007,29,1,11,8,6,2,1," $153,700,000 "," $528,525,000 "," $682,225,000 "," $396,712,500 "," $131,812,500 "
77008,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77009,22,2,7,3,7,2,1," $85,500,000 "," $582,325,000 "," $667,825,000 "," $454,167,500 "," $128,157,500 "
77011,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77012,52,3,16,18,8,5,2," $259,650,000 "," $724,525,000 "," $984,175,000 "," $486,550,000 "," $237,975,000 "
77013,34,3,4,2,20,3,2," $28,500,000 "," $875,540,000 "," $904,040,000 "," $694,780,000 "," $180,760,000 "
77015,50,5,8,6,22,5,4," $78,500,000 "," $1,199,940,000 "," $1,278,440,000 "," $938,090,000 "," $261,850,000 "
77016,6,1,2,1,1,1,0," $20,500,000 "," $91,775,000 "," $112,275,000 "," $78,835,000 "," $12,940,000 "
77017,29,2,7,10,5,3,2," $107,500,000 "," $463,800,000 "," $571,300,000 "," $332,950,000 "," $130,850,000 "
77019,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77020,19,1,8,7,1,2,0," $109,200,000 "," $129,750,000 "," $238,950,000 "," $100,215,000 "," $29,535,000 "
77021,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77022,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77023,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77024,13,0,6,6,0,1,0," $88,700,000 "," $37,975,000 "," $126,675,000 "," $21,380,000 "," $16,595,000 "
77025,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77026,19,1,8,7,1,2,0," $109,200,000 "," $129,750,000 "," $238,950,000 "," $100,215,000 "," $29,535,000 "
77027,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77028,34,3,4,2,20,3,2," $28,500,000 "," $875,540,000 "," $904,040,000 "," $694,780,000 "," $180,760,000 "
77029,19,2,6,5,3,2,1," $70,500,000 "," $409,225,000 "," $479,725,000 "," $316,927,500 "," $92,297,500 "
77030,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
